Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Sporting CP,34,25,7,2,88,61,82,23.4,48.8,56,142,797.0,15,44.1,68.5,73.0,24.2,-0.8,36.0,611.0,210.0,34.4,72.2,85.4,281706.0,93683.0,56.0,482.0,19150.0,66.0,94.0,1108.0,32.59,145.0,4.26,545.0,252.0,318.0,797.0,556.0,60.1,22870.0,797.0,1767.0,61.0,1.79,48.8,1.43,53.1,2024-2025,86.0,27,50.1,62.6,1786.0
Benfica,34,25,5,4,84,56,80,29.2,49.5,58,139,684.0,15,44.1,75.5,106.0,34.5,6.5,19.0,559.0,213.0,38.1,78.8,82.1,278683.0,97148.0,58.0,425.0,18762.0,85.0,167.0,989.0,29.09,140.0,4.12,625.0,311.0,316.0,936.0,493.0,58.0,22577.0,684.0,1861.0,56.0,1.65,49.5,1.46,55.4,2024-2025,81.0,28,55.5,69.7,1874.0
Porto,34,22,5,7,65,35,71,30.4,26.1,44,109,578.0,16,47.1,74.2,93.0,32.5,3.5,53.0,474.0,170.0,35.9,56.5,84.0,289504.0,92682.0,44.0,363.0,19080.0,75.0,100.0,872.0,25.65,115.0,3.38,472.0,253.0,300.0,725.0,521.0,61.7,22533.0,578.0,1631.0,35.0,1.03,26.1,0.77,50.7,2024-2025,65.0,30,37.8,47.8,1644.0
Braga,34,19,9,6,55,25,66,34.2,17.1,40,94,602.0,15,44.1,78.0,123.0,31.0,2.0,59.0,459.0,155.0,33.8,51.3,81.1,279688.0,90896.0,40.0,346.0,18810.0,49.0,97.0,808.0,23.76,96.0,2.82,571.0,280.0,333.0,851.0,795.0,56.8,22526.0,602.0,1496.0,25.0,0.74,17.1,0.5,48.3,2024-2025,54.0,30,36.9,46.5,1510.0
Santa Clara,34,17,6,11,36,4,57,32.9,9.7,25,60,401.0,11,32.4,75.4,114.0,29.1,-2.9,27.0,378.0,124.0,32.8,42.6,73.5,177459.0,66893.0,25.0,261.0,13021.0,39.0,96.0,631.0,18.56,54.0,1.59,559.0,288.0,335.0,847.0,966.0,44.6,16921.0,401.0,858.0,4.0,0.12,9.7,0.28,51.5,2024-2025,35.0,32,28.6,39.4,867.0
Vitória,34,14,12,8,47,10,54,32.4,12.2,27,70,504.0,13,38.2,68.0,100.0,32.9,-4.1,35.0,444.0,141.0,31.8,44.6,80.7,251517.0,93103.0,27.0,322.0,17462.0,50.0,102.0,778.0,22.88,74.0,2.18,528.0,267.0,319.0,795.0,764.0,56.7,21137.0,504.0,1526.0,10.0,0.29,12.2,0.36,49.8,2024-2025,43.0,37,31.3,42.2,1535.0
Famalicão,34,12,11,11,44,5,47,43.0,-3.9,29,72,437.0,13,38.2,74.6,138.0,47.0,9.0,27.0,381.0,124.0,32.5,39.1,78.0,217884.0,81286.0,29.0,271.0,15101.0,28.0,161.0,685.0,20.15,74.0,2.18,560.0,296.0,323.0,856.0,800.0,50.4,18939.0,437.0,1230.0,5.0,0.15,-3.9,-0.12,52.4,2024-2025,43.0,39,24.9,34.4,1250.0
Estoril,34,12,10,12,48,-5,46,58.2,-16.9,28,75,403.0,7,20.6,69.5,151.0,56.1,3.1,56.0,328.0,112.0,34.1,41.3,78.4,208632.0,80292.0,28.0,244.0,15103.0,51.0,86.0,578.0,17.0,76.0,2.24,530.0,324.0,331.0,854.0,901.0,48.9,19080.0,403.0,1039.0,-5.0,-0.15,-16.9,-0.5,47.4,2024-2025,47.0,53,27.3,34.9,1053.0
Casa Pia,34,12,9,13,39,-5,45,45.1,-11.8,26,62,397.0,7,20.6,77.3,163.0,45.4,2.4,27.0,314.0,98.0,31.2,33.3,75.5,193547.0,74313.0,26.0,221.0,13791.0,37.0,112.0,557.0,16.38,63.0,1.85,497.0,297.0,364.0,794.0,907.0,46.7,17574.0,397.0,951.0,-5.0,-0.15,-11.8,-0.35,49.7,2024-2025,36.0,44,22.9,30.2,960.0
Moreirense,34,10,10,14,42,-8,40,39.5,-6.1,28,69,416.0,7,20.6,67.2,137.0,46.7,-3.3,30.0,342.0,125.0,36.5,33.4,78.3,200798.0,74493.0,28.0,262.0,14487.0,25.0,79.0,622.0,18.29,67.0,1.97,547.0,283.0,336.0,830.0,1015.0,47.5,18482.0,416.0,927.0,-8.0,-0.24,-6.1,-0.18,47.2,2024-2025,41.0,50,21.9,29.5,936.0
