Equipa,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas
Arouca,52.3,19785,418,1175
AVS Futebol,44.0,17581,388,863
Benfica,58.0,22577,684,1861
Boavista,40.3,15990,264,880
Braga,56.8,22526,602,1496
Casa Pia,46.7,17574,397,951
Estoril,48.9,19080,403,1039
Estrela,44.8,16764,354,863
Famalicão,50.4,18939,437,1230
Farense,41.3,15786,354,866
Gil Vicente FC,50.6,19987,451,1091
Moreirense,47.5,18482,416,927
Nacional,47.5,17042,466,955
Porto,61.7,22533,578,1631
Rio Ave,47.8,18711,493,1041
Santa Clara,44.6,16921,401,858
Sporting CP,60.1,22870,797,1767
Vitória,56.7,21137,504,1526
