Equipa,GolosSofridos,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos
Arouca,49,8,23.5,71.4,140
AVS Futebol,60,8,23.5,67.4,175
Benfica,28,15,44.1,75.5,106
Boavista,59,7,20.6,69.4,173
Braga,30,15,44.1,78.0,123
Casa Pia,44,7,20.6,77.3,163
Estoril,53,7,20.6,69.5,151
Estrela,50,7,20.6,69.8,149
Famalicão,39,13,38.2,74.6,138
Farense,46,7,20.6,72.8,147
Gil Vicente FC,47,7,20.6,68.0,128
Moreirense,50,7,20.6,67.2,137
Nacional,50,8,23.5,73.7,156
Porto,30,16,47.1,74.2,93
Rio Ave,55,5,14.7,69.2,169
Santa Clara,32,11,32.4,75.4,114
Sporting CP,27,15,44.1,68.5,73
Vitória,37,13,38.2,68.0,100
