Equipa,Golos,Golos,Assistencias,Assistencias,Golos+Assistencias,Golos+Assistencias,GolosEsperados,GolosEsperados,AssistenciasEsperadas,AssistenciasEsperadas,GolosEsperadosSemPenaltis,GolosEsperadosSemPenaltis,ConducoesProgressivas,PassesProgressivos
Arouca,34,1.0,18,0.53,52,1.53,40.7,1.2,25.2,0.74,33.5,0.99,418,1184
AVS Futebol,25,0.74,17,0.5,42,1.24,31.7,0.93,22.0,0.65,27.7,0.82,388,877
Benfica,81,2.38,58,1.71,139,4.09,78.8,2.32,55.5,1.63,69.7,2.05,684,1874
Boavista,23,0.68,8,0.24,31,0.91,32.1,0.94,17.5,0.51,26.9,0.79,264,886
Braga,54,1.59,40,1.18,94,2.76,51.3,1.51,36.9,1.09,46.5,1.37,602,1510
Casa Pia,36,1.06,26,0.76,62,1.82,33.3,0.98,22.9,0.67,30.2,0.89,397,960
Estoril,47,1.38,28,0.82,75,2.21,41.3,1.21,27.3,0.8,34.9,1.03,403,1053
Estrela,23,0.68,16,0.47,39,1.15,29.4,0.86,18.8,0.55,26.3,0.77,354,875
Famalicão,43,1.26,29,0.85,72,2.12,39.1,1.15,24.9,0.73,34.4,1.01,437,1250
Farense,25,0.74,18,0.53,43,1.26,30.5,0.9,21.4,0.63,28.2,0.83,354,877
Gil Vicente FC,33,0.97,20,0.59,53,1.56,33.8,0.99,24.6,0.72,30.7,0.9,451,1100
Moreirense,41,1.21,28,0.82,69,2.03,33.4,0.98,21.9,0.64,29.5,0.87,416,936
Nacional,31,0.91,21,0.62,52,1.53,37.8,1.11,25.6,0.75,33.9,1.0,466,960
Porto,65,1.91,44,1.29,109,3.21,56.5,1.66,37.8,1.11,47.8,1.41,578,1644
Rio Ave,39,1.15,20,0.59,59,1.74,38.9,1.14,25.0,0.73,35.8,1.05,493,1051
Santa Clara,35,1.03,25,0.74,60,1.76,42.6,1.25,28.6,0.84,39.4,1.16,401,867
Sporting CP,86,2.53,56,1.65,142,4.18,72.2,2.12,50.1,1.47,62.6,1.84,797,1786
Vitória,43,1.26,27,0.79,70,2.06,44.6,1.31,31.3,0.92,42.2,1.24,504,1535
